n,avg_time_s
1200,0.000526333800
2500,0.001485007200
5000,0.004789385600
7500,0.006161932200
10000,0.009361211600
13000,0.013675458200
17000,0.020995073200
21000,0.025125853800
26000,0.032730248400
32000,0.041616073200
